Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2014-02-27;37;20;17.4;14.4;92.5;76;12.4;2.3;
2014-02-28;.6;23;17.3;14.4;84.3;59;7.2;1.5;
2014-03-01;0;23.3;17.3;12.5;80.7;53;6.8;1.5;
2014-03-02;.2;25.1;18.5;12.5;79.6;49;9.3;2.5;
2014-03-03;0;26.9;19.8;16.3;81.4;57;20;3.2;
2014-03-04;69.4;24.5;19.8;16;85.8;67;12.2;2.8;
2014-03-05;3.2;24.9;20.3;16.6;86.2;69;14.1;3.1;
2014-03-06;15.8;25.7;20.1;17.2;83.8;56;6.9;1.5;
2014-03-07;0;24.6;19.9;15.4;79.5;53;8.8;2.1;
2014-03-08;1;24;19.4;16.9;81.9;64;9.1;2.4;
2014-03-09;.2;26.9;20.3;15.1;79.6;46;10.8;1.6;
2014-03-10;0;24.9;20.8;17.6;80.8;64;11.3;3.3;
2014-03-11;0;25.2;20.3;17.8;83.1;60;7.9;1.7;
2014-03-12;0;25.5;19.5;16.2;83.7;61;9.6;2.1;
2014-03-13;0;28.1;21.3;18.4;75;51;10.3;3.1;
2014-03-14;.2;29.6;22.3;16.6;70.6;45;9.2;3.2;
2014-03-15;3.8;26.7;22.1;19.8;79.3;56;12.5;3.6;
2014-03-16;1.8;30.6;24.1;19;75.6;51;8.9;2.4;
2014-03-17;4.2;26;21.3;18.1;86.8;62;14.2;2.1;
2014-03-18;42;24.3;20.1;17.8;93.1;73;9.5;1.9;
2014-03-19;2.8;19.8;18.6;17.7;95.1;90;7.9;1.6;
2014-03-20;14;23.4;19;16.6;89.1;73;8.6;2;
2014-03-21;2.4;24.3;19.9;17.5;89.6;69;7.4;2.2;
2014-03-22;1;18;13.9;13.4;84.1;58;10.2;2.2;
2014-03-23;0;22.8;13.8;6.3;71.6;38;7.3;2.1;
2014-03-24;0;26.4;18.1;11.3;74.6;43;9.1;2.5;
2014-03-25;0;26.3;19.7;14.9;72.2;43;10.3;3;
2014-03-26;0;27;20.2;16;73.3;38;9.2;3.4;
2014-03-27;0;27.9;21.4;16.8;73.2;47;8.7;3;
2014-03-28;0;28.9;22.5;17.7;69.1;45;12.4;3;
2014-03-29;0;29.9;23.5;18.6;67.6;40;11.4;3.4;
2014-03-30;0;26.9;22.8;20.6;73;62;14.9;5.4;
2014-03-31;25.2;25.6;21.1;19.2;87.8;64;10.7;2.2;
2014-04-01;8;23.4;19.6;17.9;90.9;74;8.9;2.1;
2014-04-02;1.6;24.9;20.2;17.9;84.2;62;10.8;3;
2014-04-03;0;27.2;21.1;16.6;69.7;44;12;3.4;
2014-04-04;0;28.6;21.8;16.9;64.8;39;11.3;3.6;
2014-04-05;0;28.3;21.9;16.6;64.5;48;11;3.1;
2014-04-06;0;29;22.5;17.5;76;54;7.4;2.3;
2014-04-07;0;30.2;23.8;20;73.8;46;6.6;2.1;
2014-04-08;0;31.4;22.8;19.8;78.2;47;13.9;3.7;
2014-04-09;48.8;25.7;20.6;18.5;86.5;61;19.4;2.3;
2014-04-10;0;26;19.9;14.2;75.2;58;6.1;1.9;
2014-04-11;0;22.2;20.4;19.1;88.1;78;9.9;3;
2014-04-12;56;23.3;20;18.3;83.8;58;20.7;4.8;
2014-04-13;0;17.4;13.4;8.7;70.5;40;9.3;2.6;
2014-04-14;0;17;11.4;6.7;82;58;6.8;1.3;
2014-04-15;0;23;15.6;9.4;77.3;51;8.1;2.4;
2014-04-16;0;25.7;18.4;13.4;74.6;41;9;2.9;
2014-04-17;0;22.4;19.3;16.1;81.3;70;8.5;2.5;
2014-04-18;0;22.4;19.8;18.3;81.5;70;10.2;2.9;
2014-04-19;0;21.1;18.6;17.9;90.4;80;8.3;1.5;
2014-04-20;9.6;21.1;17.6;15.8;86;71;7.8;2.4;
2014-04-21;0;25.6;19;14.8;79.4;58;9.5;2.8;
